	JG-27250_S1.rsem.genes.results	JG-27251_S2.rsem.genes.results	JG-27255_S6.rsem.genes.results	JG-27256_S7.rsem.genes.results	JG-27260_S11.rsem.genes.results	JG-27261_S12.rsem.genes.results
ENSG00000223901_AP001469.5	1	0	0	0	1	1
ENSG00000223903_RPL23P4	0	0	0	0	0	0
ENSG00000223904_HMGB1P12	0	0	0	0	0	0
ENSG00000223905_RP11-335E14.1	0	0	0	0	0	0
ENSG00000223906_RP5-837M10.2	0	0	0	0	0	0
ENSG00000223907_LINC01226	1	3	0	2	0	0
ENSG00000223908_AC068657.2	0	0	0	0	0	0
ENSG00000223910_ZNF32-AS3	0	0	0	0	0	0
ENSG00000223911_AC009480.3	0	0	0	0	0	0
ENSG00000223912_EEF1A1P36	0	0	0	0	0	0
ENSG00000223914_AC079630.2	0	0	0	0	0	0
ENSG00000223915_DPPA2P1	0	0	0	0	0	0
ENSG00000223916_RP11-353H3.1	1	0	0	0	0	0
ENSG00000223917_AC009237.2	0	0	0	0	0	0
ENSG00000223918_RP13-461N9.2	0	0	0	0	0	0
ENSG00000223920_RP11-430G17.1	0	0	0	0	0	0
ENSG00000223921_MTND1P27	0	0	0	0	0	0
ENSG00000223922_ASS1P2	3	1	1	1	2	1
ENSG00000223923_AC010136.2	0	0	0	0	0	0
ENSG00000223928_RP11-183E9.2	0	0	0	0	0	0
ENSG00000223929_MIR4432HG	0	0	0	0	0	0
ENSG00000223930_RP11-33A14.1	4	0	2	0	1	0
ENSG00000223931_RP11-1166P10.8	0	0	0	0	0	0
ENSG00000223935_AC008074.3	2	3	0	2	4	2
ENSG00000223940_KRT8P8	0	0	1	0	0	0
ENSG00000223941_LINC01014	0	0	0	0	0	0
ENSG00000223942_RP11-252P19.2	0	0	0	0	0	0
ENSG00000223944_RP5-1180C18.1	0	0	0	0	0	0
ENSG00000223945_RP11-458I7.1	3	2	0	0	0	0
ENSG00000223946_RP11-533O20.2	0	0	0	0	0	0
ENSG00000223947_AC016738.4	1.08	1.21	0	1.19	1.07	2.24
ENSG00000223948_RP11-421N10.1	0	0	0	0	0	0
ENSG00000223949_ROR1-AS1	11.02	12	7.91	9	13.1	14
ENSG00000223951_AL133244.1	0	0	0	0	0	0
ENSG00000223953_C1QTNF5	0	0	0	0	0	0
ENSG00000223955_MTND6P1	0	0	0	0	0	0
ENSG00000223956_RP4-710M16.2	0	0	0	0	0	0
ENSG00000223958_RP11-552J9.12	0	0	0	0	0	0
ENSG00000223959_AFG3L1P	681	842	763	670	505	816
ENSG00000223960_AC009948.5	229	177	188	101	150	147
ENSG00000223962_UBBP3	0	0	0	0	0	0
ENSG00000223963_PRKRIRP8	11	3	12	9	13	8
ENSG00000223965_ZNF587P1	0	0	0	0	0	0
ENSG00000223966_RP11-141J10.2	0	0	0	0	0	0
ENSG00000223967_RP11-505P4.5	0	0	0	0	0	0
ENSG00000223968_AC098614.1	0	0	0	0	0	0
ENSG00000223969_AC002456.2	2	1	4	0	0	0
ENSG00000223970_RP11-598O8.1	0	0	0	0	0	0
ENSG00000223972_DDX11L1	3.62	1.57	1.82	0	0	0
ENSG00000223973_AC068491.3	3	2	0	1	0	1.85
ENSG00000223974_BNIP3P42	0	0	0	0	0	1
ENSG00000223975_AP001048.4	0	0	0	0	0	0
ENSG00000223976_EXTL2P1	0	0	0	0	0	0
ENSG00000223977_AC138623.1	0	0	0	0	0	0
ENSG00000223978_ZNF736P1Y	0	0	0	0	0	0
ENSG00000223979_SMCR2	0	1	0	0	2	0
ENSG00000223982_SNRPD2P2	0	0	0	0	0	0
ENSG00000223984_HNRNPRP1	0	0	0	0	0	0
ENSG00000223985_AC093326.1	0	0	0	0	0	0
ENSG00000223986_RP11-528A4.3	0	0	0	0	0	0
ENSG00000223987_RP11-445P17.5	0	0	0	0	0	0
ENSG00000223989_RP11-84A14.5	0	0	0	0	0	0
ENSG00000223991_AC104809.2	0	0	0	0	0	0
ENSG00000223993_RP11-475D12.1	0	0	0	0	0	0
ENSG00000223995_RPL32P35	0	0	0	0	0	0
ENSG00000223997_TRDD1	0	0	0	0	0	0
ENSG00000223999_LL22NC03-102D1.18	0	0	0	0	0	0
ENSG00000224000_RP3-471M13.2	0	0	0	0	0	0
ENSG00000224001_RP11-270F18.2	0	0	0	0	0	0
ENSG00000224003_YES1P1	0	0	0	0	0	0
ENSG00000224004_ATP5C1P1	1	1	0	0	0	0
ENSG00000224007_AC019070.1	0	0	0	0	0	0
ENSG00000224008_LINC01441	10.37	12.71	8.36	4.32	7.46	8.22
ENSG00000224011_AC111155.1	0	0	0	0	0	0
ENSG00000224012_RP11-756G12.1	0	0	0	0	0	0
ENSG00000224014_RP11-488L18.6	0	0	0	0	0	0
ENSG00000224015_AC063976.3	0	0	0	0	0	0
ENSG00000224016_RP11-728K20.1	0	0	0	0	0	0
ENSG00000224017_LINC01449	0	0	0	0	0	0
ENSG00000224018_AP000470.2	0	0	0	0	0	0
ENSG00000224019_RPL21P32	0	0	0	0	0	0
ENSG00000224020_MIR181A2HG	1	1	3	10	10	8
ENSG00000224023_FLJ37035	14.83	12.46	22	10	12	13.81
ENSG00000224025_RP11-274B18.3	0	0	0	0	0	0
ENSG00000224027_RP1-231P7P.1	0	0	0	0	0	0
ENSG00000224028_AC073928.2	0	0	0	0	0	0
ENSG00000224029_RP11-136K14.2	0	0	0	0	0	0
ENSG00000224031_TCEAL3-AS1	1	0	0	0	0	0
ENSG00000224032_EPB41L4A-AS1	587.52	909.49	677.76	950.72	818.76	1178.55
ENSG00000224033_CDY8P	0	0	0	0	0	0
ENSG00000224034_RP11-445P17.8	7	4	8	2	11	4
ENSG00000224035_SFPQP1	0	0	0	0	0	0
ENSG00000224038_RP11-347J14.8	0	0	0	0	0	0
ENSG00000224039_AC091493.1	0	0	0	0	0	0
ENSG00000224040_HMGN1P4	0	0	0	0	0	0
ENSG00000224041_IGKV3D-15	0	0	0	0	0	0
ENSG00000224042_MTND4P6	0	0	0	0	0	0
ENSG00000224043_CCNT2-AS1	11	9	7	1	6	10
ENSG00000224045_RP11-98L5.4	0	0	0	0	0	0
ENSG00000224046_AC005076.5	4	11	10	3	6	10
ENSG00000224048_AC104777.4	0	0	0	0	0	0
ENSG00000224049_RP11-30O15.1	0	0	0	0	0	0
ENSG00000224050_RP1-90G24.6	0	1	0	0	0	0
ENSG00000224051_CPTP	157	265	187	330	172	391
ENSG00000224054_RP4-551E13.2	0	0	0	0	0	0
ENSG00000224055_GAPDHP55	0	0	0	0	0	0
ENSG00000224057_EGFR-AS1	4.01	4	2	4	2	3.01
ENSG00000224058_AC006509.7	0	0	0	0	0	0
ENSG00000224059_HSPA8P16	0	0	0	0	0	0
ENSG00000224060_ARSEP1	0	0	0	0	0	0
ENSG00000224061_AC092106.1	0	0	0	0	0	0
ENSG00000224062_TUBB4BP5	0	0	0	0	0	0
ENSG00000224063_AC007319.1	3	0	3	2	2	3
ENSG00000224064_RP11-344H11.5	0	0	0	0	0	0
ENSG00000224065_SRIP2	0	0	0	0	0	0
ENSG00000224066_RP4-622L5.7	1	1	0	0	0	1
ENSG00000224067_RP11-430K21.2	0	0	0	0	0	0
ENSG00000224069_CTD-2183H9.7	0	0	0	0	0	0
ENSG00000224070_HMGN1P6	0	0	0	0	0	0
ENSG00000224071_AC009474.1	0	0	0	0	0	0
ENSG00000224072_RP11-75A9.3	1	1	0	0	0	3
ENSG00000224074_LINC00691	0	0	0	0	0	0
ENSG00000224075_TTTY22	0	0	0	0	0	0
ENSG00000224076_AC009487.4	0	0	0	0	0	0
ENSG00000224077_AP000936.4	0	0	0	0	0	0
ENSG00000224078_SNHG14	999.08	1068	794.73	899.23	537.74	1104.39
ENSG00000224079_AC091729.7	0	1	0	0	0	0
ENSG00000224080_UBE2FP1	5	4	2	6	3	4
ENSG00000224081_LINC01057	4.96	11.59	13.25	3.07	3	3.81
ENSG00000224082_UBTFL8	0	0	0	0	0	0
ENSG00000224083_RP11-39K24.4	1	0	0	0	0	0
ENSG00000224085_RPL23AP41	0	0	0	0	0	0
ENSG00000224086_LL22NC03-86G7.1	81.18	79.35	122.39	82.39	94.3	99.31
ENSG00000224087_AC018804.3	0	0	0	0	0	0
ENSG00000224089_CT47A10	0	0	0	0	0	0
ENSG00000224090_AC097468.4	0	0	0	0	0	0
ENSG00000224091_AC104389.16	0	0	0	0	0	0
ENSG00000224092_RP11-443B9.1	0	0	0	0	0	0
ENSG00000224093_RP5-1033H22.2	0	1	0	2	0	2
ENSG00000224094_RPS24P8	0	3	2	0	0	1
ENSG00000224095_AC108051.1	0	0	0	0	0	0
ENSG00000224097_RP11-472B18.1	7	15	8	19	0	12
ENSG00000224099_AC064834.1	0	0	0	0	0	2
ENSG00000224100_AP001630.5	0	0	0	0	0	0
ENSG00000224101_ELMO1-AS1	0	0	0	0	0	0
ENSG00000224104_AC079809.2	0	0	0	0	0	0
ENSG00000224106_CYP4F25P	0	0	0	0	0	0
ENSG00000224107_LINC00633	0	0	0	0	0	0
ENSG00000224109_CENPVP3	0	0	0	0	0	0
ENSG00000224110_MTRF1LP2	0	0	0	0	0	0
ENSG00000224114_RP11-343H5.4	1	1	1	0	0	1
ENSG00000224116_INHBA-AS1	0	0	0	0	0	0
ENSG00000224117_PTPN2P2	0	0	1	0	0	0
ENSG00000224121_ATG12P2	0	0	1	0	0	0
ENSG00000224122_POU6F2-AS1	0	0	0	0	0	0
ENSG00000224124_POM121L10P	0	0	0	0	0	0
ENSG00000224126_UBE2SP2	0	0	0	0	0	0
ENSG00000224127_RP11-510C10.2	0	0	0	0	0	0
ENSG00000224128_LINC01248	0	0	0	0	0	0
ENSG00000224129_DPPA2P2	0	0	0	0	0	0
ENSG00000224132_AC112715.2	1	0	0	0	0	0
ENSG00000224134_AC004866.3	0	0	0	0	0	0
ENSG00000224136_AC007568.1	0	0	0	0	0	0
ENSG00000224137_AC079767.4	0	0	0	0	0	0
ENSG00000224138_AC000123.4	0	0	3	2	2	0
ENSG00000224141_MIR548XHG	173.34	176.97	126	181.68	183.81	237.51
ENSG00000224142_AMMECR1-IT1	0	0	0	0	0	0
ENSG00000224144_ASH2LP1	0	0	0	0	0	0
ENSG00000224149_RP11-510C10.3	0	0	5	1	0	1
ENSG00000224151_USP9YP28	0	0	0	0	0	0
ENSG00000224152_AC009506.1	14.47	12.02	8.01	11.24	14.75	11.86
ENSG00000224153_RP11-433C9.2	0	0	0	0	0	0
ENSG00000224155_RP11-700P18.2	0	0	0	0	0	0
ENSG00000224157_HCG14	0	0	0	0	0	1
ENSG00000224159_HMGB1P9	0	1	2	1	1	1
ENSG00000224160_CICP10	0	0	0	0	0	0
ENSG00000224161_RPS26P54	0	0	0	0	0	0
ENSG00000224162_UQCRHP3	1	0	0	0	0	0
ENSG00000224163_RP11-309L24.6	1.74	0	0	0	0	0
ENSG00000224164_RP3-369A17.4	0	0	0	0	0	0
ENSG00000224165_DNAJC27-AS1	4.09	4.59	9.59	3.76	3	3
ENSG00000224166_PRYP1	0	0	0	0	0	0
ENSG00000224167_RP3-522D1.1	3	0	2.54	0	2.84	0
ENSG00000224169_HSFY6P	0	0	0	0	0	0
ENSG00000224172_RP11-416N13.1	0	0	0	0	0	0
ENSG00000224173_AC007422.1	0	0	0	0	0	0
ENSG00000224174_RP4-798A10.4	0	1.91	0	0	0	0
ENSG00000224177_LINC00570	0	0	0	0	0	0
ENSG00000224183_SDHDP6	0	2	0	0	0	0
ENSG00000224184_MIR3681HG	0	0	0	1	0	0
ENSG00000224185_SNX18P9	0	0	0	1	0	0
ENSG00000224186_C5orf66	97.64	64.53	64.33	97.1	67.64	101.54
ENSG00000224187_RP11-132N15.3	0	0	0	0	0	0
ENSG00000224188_UBE2D3P4	0	0	0	0	0	0
ENSG00000224189_HAGLR	12	0	9	0	11	0
ENSG00000224190_RP11-442O18.2	0	0	0	0	0	0
ENSG00000224192_RP11-259P1.1	0	0	0	0	0	0
ENSG00000224194_AC008278.3	0	0.78	0	1	0	0
ENSG00000224195_RP11-574K11.5	0	3	2	2	0	2
ENSG00000224196_OR5AK4P	0	0	0	0	0	0
ENSG00000224203_RPS23P10	0	0	0	0	0	0
ENSG00000224204_PHEX-AS1	0	0	0	0	0	0
ENSG00000224205_AP000351.4	0	0	0	0	0	0
ENSG00000224207_RP11-10L12.1	0	0	0	0	0	1
ENSG00000224208_AL590762.6	1	3	4	1	1	0
ENSG00000224209_LINC00466	0	0	0	0	0	0
ENSG00000224210_TRIM60P5Y	0	0	0	0	0	0
ENSG00000224215_RP11-371A19.2	0	0	0	0	0	0
ENSG00000224216_RP13-228J13.1	0	0	4	3	0.68	0.34
ENSG00000224217_RP11-232D9.1	0	0	0	0	0	0
ENSG00000224218_RP11-359D14.3	0	0	0	0	0	0
ENSG00000224219_AC074290.1	0	0	0	0	0	0
ENSG00000224220_AC104699.1	0	0	0	0	0	0
ENSG00000224221_RPS6P8	0	2	4	0	2	1
ENSG00000224222_RP11-262I2.2	0	0	0	0	0	0
ENSG00000224223_VSTM2A-OT1	0	0	0	0	0	0
ENSG00000224224_HAUS1P2	0	1	0	0	1	1
ENSG00000224227_OR2L1P	0	0	0	0	1	0
ENSG00000224228_RP1-15D23.2	0	0	0	0	0	0
ENSG00000224231_AC069394.1	0	0	0	0	0	0
ENSG00000224232_AC110299.5	0	0	0	1	0	0
ENSG00000224233_OR2J4P	0	0	0	0	0	0
ENSG00000224235_RP5-1027O11.1	0	0	0	0	0	0
ENSG00000224236_MRRFP1	0	0	0	0	0	0
ENSG00000224237_MINOS1P3	0	0	0	0	0	0
ENSG00000224238_WARS2-IT1	6.23	12	12	10.96	5.09	10.1
ENSG00000224239_AC090044.2	0	0	0	1	0	0
ENSG00000224240_CYCSP49	0	0	0	0	0	0
ENSG00000224243_LINC00403	0	0	0	0	0	0
ENSG00000224244_AC090283.3	0	0	0	0	0	0
ENSG00000224245_RP11-533K9.3	0	0	0	0	0	0
ENSG00000224247_AJ009632.3	0	0	0	0	0	0
ENSG00000224250_RP11-78A18.2	0	0	0	0	0	0
ENSG00000224251_RP11-499O7.7	0	0	2	0	0	0
ENSG00000224252_AC113618.2	0	0	0	0	0	0
ENSG00000224254_MTCO1P39	0	0	0	0	0	0
ENSG00000224255_PDCL3P6	0	0	0	0	0	0
ENSG00000224256_CTA-292E10.7	0	0	0	0	0	0
ENSG00000224257_VWC2L-IT1	0	0	0	0	0	0
ENSG00000224259_LINC01133	281	202	317	295	324	359
ENSG00000224260_RP1-272L16.1	0	2	0	0	0	0
ENSG00000224261_RPSAP18	0	6	2	5.79	2	10
ENSG00000224263_CYCSP12	0	0	0	0	0	0
ENSG00000224265_RP11-168L22.2	0	0	0	0	0	0
ENSG00000224267_RP11-149F8.5	0	0	0	0	0	0
ENSG00000224269_AP000697.6	0	0	0	0	0	0
ENSG00000224271_RP11-191L9.4	36	28	25	33	66	43
ENSG00000224272_AC114730.3	0	0	0	0	0	0
ENSG00000224273_AC005077.7	0	0	0	0	0	0
ENSG00000224274_ENSAP1	0	0	0	0	0	0
ENSG00000224276_RP11-336K24.5	0	0	0	0	0	0
ENSG00000224277_AP000345.2	0	0	0	0	0	0
ENSG00000224278_RP11-405P11.1	0	0	0	0	0	0
ENSG00000224279_RP1-199H16.6	0	0	0	0	0	0
ENSG00000224280_AC005014.5	0	1	0	1	0	0
ENSG00000224281_SLC25A5-AS1	22.14	27.22	20.15	37.17	19.13	30.25
ENSG00000224282_CTD-2290C23.1	1	0	0	0	0	0
ENSG00000224286_LINC01142	0	0	0	0	0	0
ENSG00000224287_MSL3P1	0	0	0	0	0	0
ENSG00000224288_MTCYBP11	0	0	0	0	0	0
ENSG00000224289_IFIT6P	0	0	0	0	0	0
ENSG00000224291_AC012671.2	0	0	0	0	0	0
ENSG00000224292_AF196972.9	2	7	2	9	1	8
ENSG00000224294_RP3-326I13.1	1	0	1	1	1	1
ENSG00000224295_OLFM5P	0	0	0	0	0	0
ENSG00000224296_MRPL49P1	0	0	0	0	0	0
ENSG00000224297_RP11-197P3.1	0	0	0	0	0	0
ENSG00000224299_MTATP6P16	0	0	0	0	0	0
ENSG00000224300_OR51P1P	0	0	0	0	0	0
ENSG00000224301_RP11-144G16.1	0	0	0	0	0	0
ENSG00000224302_RP11-302K17.3	0	0	0	0	0	0
ENSG00000224307_RP11-344B5.2	0	0	0	0	0	0
ENSG00000224308_LINC01527	2	4	1	1	3	3
ENSG00000224309_ANKRD30BP2	2.34	0	2.15	0.99	0	0
ENSG00000224310_LINC01567	0	0	0	0	0	0
ENSG00000224311_RP11-40H20.4	0	0	0	0	0	0
ENSG00000224312_MCCD1P2	0	0	0	0	0	0
ENSG00000224314_RP3-378P9.2	0	0	0	0	0	0
ENSG00000224315_RPL7P7	0	0	1	1	0	3
ENSG00000224316_GTF2IP5	0	0	0	1	0	0
ENSG00000224318_CHL1-AS2	0	0	0	0	0	0
ENSG00000224321_RPL12P14	11	11	12	6	14	34
ENSG00000224322_AC004009.3	0	0	0	0	0	0
ENSG00000224323_DPRXP1	0	0	0	0	0	0
ENSG00000224324_THAP5P1	0	0	0	0	0	0
ENSG00000224326_RP5-933B4.1	0	0	0	0	0	0
ENSG00000224328_MDC1-AS1	0	0	0	0	0	0
ENSG00000224329_LINC00297	0	0	0	0	0	0
ENSG00000224330_AC005019.3	0	0	0	0	0	0
ENSG00000224331_AC019181.3	0	0	0	0	0	0
ENSG00000224333_GAPDHP20	0	0	0	0	0	0
ENSG00000224334_AP000357.4	0	1	0	0	0	1
ENSG00000224335_RP11-301M17.2	0	0	0	0	0	0
ENSG00000224336_FAM197Y1	0	0	0	0	0	0
ENSG00000224337_FAM8A3P	0	0	0	0	0	0
ENSG00000224338_RP11-149P14.1	0	0	0	0	0	0
ENSG00000224339_AL121578.5	0	0	0	0	0	0
ENSG00000224340_RP11-496H15.2	0	0	0	0	0	0
ENSG00000224341_RP4-562J12.1	0	0	1	0	0	0
ENSG00000224342_AC007879.1	0	0	0	0	0	0
ENSG00000224344_KNOP1P3	0	0	0	0	0	0
ENSG00000224346_BICD1P1	0	0	0	0	0	0
ENSG00000224347_SCEL-AS1	0	0	0	0	0	0
ENSG00000224348_RP11-306K13.1	0	0	0	0	0	0
ENSG00000224349_RP11-462G2.2	0	1	0	0	0	0
ENSG00000224351_CDKN2AIPNLP3	0	0	0	0	0	0
ENSG00000224352_AC132479.4	0	0	0	0	0	0
ENSG00000224353_ACE3P	0	0	0	0	0	0
ENSG00000224354_MTND2P5	0	0	0	0	0	0
ENSG00000224356_RP11-151A6.4	2	0	3	4.34	0	1
ENSG00000224357_ATG3P1	0	0	0	0	0	0
ENSG00000224358_RP11-466F5.8	6	13	2	14	3	19
ENSG00000224359_RP11-467I20.2	0	0	0	0	0	0
ENSG00000224361_AC011239.1	0	0	1	1	0	0
ENSG00000224363_RP11-289H16.1	0	1	0	0	0	0
ENSG00000224365_RP11-252P18.1	0	0	0	0	0	0
ENSG00000224366_AC138472.4	0	0	0	0	0	0
ENSG00000224367_OACYLP	2	0	0	0	0	0
ENSG00000224368_ARAFP2	0	0	0	0	0	0
ENSG00000224370_RP11-814E24.3	1	1	1	1	1	1
ENSG00000224371_RP11-235G24.1	0	0	0	0	0	0
ENSG00000224372_HLA-N	0	0	0	0	0	0
ENSG00000224373_IGHV4-59	0	0	0	0	0	0
ENSG00000224374_RP1-32B1.4	0	0	0	0	0	0
ENSG00000224375_AC009276.4	0	0	0	0	0	0
ENSG00000224376_AC017104.6	0	0	3	1	0	0
ENSG00000224382_LINC00703	0	0	0	0.5	0	0
ENSG00000224383_PRR29	1	3	1.12	2	3.29	1.09
ENSG00000224384_RP3-417O22.3	0	0	0	0	0	0
ENSG00000224387_RP3-395M20.2	0	8	0	0	0	1
ENSG00000224388_BACE2-IT1	0	0	0	0	0	0
ENSG00000224389_C4B	12.41	30.5	47.93	39.04	16.37	32.5
ENSG00000224391_LINC01280	0	0	0	0	0	0
ENSG00000224394_GPC6-AS2	0	0	0	0	0	0
ENSG00000224396_METTL15P3	0	0	0	0	0	0
ENSG00000224397_LINC01272	2	2	5	0	5	1
ENSG00000224400_AC010880.1	0	0	0	0	0	0
ENSG00000224401_RPL7P57	5	2	3	2	0	1
ENSG00000224402_OR6D1P	0	0	0	0	0	0
ENSG00000224403_DPPA2P3	1	0	0	0	0	0
ENSG00000224404_LL22NC03-13G6.2	0	0	0	0	0	0
ENSG00000224405_LINC00572	0	0	0	0	0	0
ENSG00000224406_RP11-48F14.1	0	0	0	0	0	0
ENSG00000224407_RP5-956O18.3	0	0	0	0	0	0
ENSG00000224408_USP9YP22	0	0	0	0	0	0
ENSG00000224409_RP11-114B7.6	0	2	0	1	0	1
ENSG00000224410_AC097499.2	0	0	0	0	0	0
ENSG00000224411_HSP90AA2P	19.03	12	13	4	2	8
ENSG00000224412_RP11-351O1.3	0	0	0	0	0	0
ENSG00000224413_AP001476.2	0	0	0	0	0	0
ENSG00000224414_AC010886.2	0	1	0	0	0	0
ENSG00000224415_RP11-401L13.4	0	0	0	0	0	0
ENSG00000224416_IFNA22P	0	0	0	0	0	0
ENSG00000224417_RP11-503C24.6	0	0	0	0	0	0
ENSG00000224418_STK24-AS1	8	8	6	1	9	10
ENSG00000224419_KRT18P27	0	0	0	0	0	0
ENSG00000224420_ADM5	39.57	38.41	56.46	18.78	30.9	22.96
ENSG00000224421_ATP5J2LP	0	0	0	0	0	0
ENSG00000224424_PRKAR2A-AS1	16	59	20.64	47.81	25	48
ENSG00000224425_AC073869.2	0	0	0	0	0	0
ENSG00000224426_SLC31A1P1	0	0	0	0	0	0
ENSG00000224427_AP000281.1	0	0	0	0	0	0
ENSG00000224429_LINC00539	1	3	0	0	0	1
ENSG00000224430_MKRN5P	0	0	0	1	0	0
ENSG00000224431_AC063976.7	4	0	5	1	6	1
ENSG00000224435_NF1P6	0	0	0	0	0	0
ENSG00000224436_RP11-284L19.1	0	0	0	0	0	0
ENSG00000224437_PIGUP1	0	0	0	0	0	0
ENSG00000224438_RPL23AP14	0	0	0	0	0	0
ENSG00000224439_RPSAP10	0	0	0	0	0	0
ENSG00000224440_CXorf51A	0	0	0	0	0	0
ENSG00000224441_AC068831.3	0	0	0	0	0	0
ENSG00000224442_AC017035.2	0	0	0	0	0	0
ENSG00000224443_AC006509.4	0	0	0	0	0	0
ENSG00000224445_RP11-413P11.1	0	0	0	0	0	0
ENSG00000224447_HIST1H1PS2	0	0	0	0	0	0
ENSG00000224448_GS1-259H13.7	0	0	1	0	0	0
ENSG00000224451_ATP5F1P1	0	0	0	0	0	0
ENSG00000224452_RSL24D1P6	0	0	0	1	0	0
ENSG00000224458_GUSBP6	0	0	0	0	0	0
ENSG00000224459_RP11-169K16.4	0	0	0	0	0	1
ENSG00000224460_RP11-439L18.2	0	0	0	1	0	0
ENSG00000224462_C4BPAP1	0	0	2.61	0	0	0
ENSG00000224463_AC079354.6	0	0	0	0	0	0
ENSG00000224464_PGAM1P6	0	0	0	0	0	0
ENSG00000224465_SOCS2P2	0	0	0	0	0	0
ENSG00000224466_CDCA4P2	0	0	0	0	0	0
ENSG00000224467_AC009313.1	0	0	0	0	0	0
ENSG00000224468_RP11-181K3.4	0	1	0	0	0	0
ENSG00000224469_AC009517.2	0	0	0	0	0	0
ENSG00000224470_ATXN1L	1206	1369	1534	1712	1241	1907
ENSG00000224471_MTCO3P19	0	0	0	0	0	0
ENSG00000224473_CCND3P1	0	0	0	0	0	0
ENSG00000224475_AC073900.4	0	0	0	0	0	0
ENSG00000224476_RPL36P16	0	0	0	0	0	0
ENSG00000224477_RP1-81D8.3	0	0	0	0	0	0
ENSG00000224478_RP11-13P5.1	0	0	0	0	0	0
ENSG00000224479_AC136289.1	3	2	0	0	0	2
ENSG00000224481_RP11-495P10.3	0	0	1	0	0	0
ENSG00000224482_HSFY4P	0	0	0	0	0	0
ENSG00000224484_RP11-548K12.4	0	0	0	0	0	0
ENSG00000224485_USP9YP7	0	0	0	0	0	0
ENSG00000224486_HCG19P	0	0	0	0	0	0
ENSG00000224488_SAMM50P1	0	0	0	0	0	0
ENSG00000224490_TTC21B-AS1	0	0	0	0	0	0
ENSG00000224493_RP11-87O11.1	0	0	0	0	0	0
ENSG00000224494_HNRNPA3P14	0	0	0	0	0	0
ENSG00000224497_RPL36P4	3.21	0.71	0	0	0	0.67
ENSG00000224498_MAPKAPK5P1	0	0	0	0	0	0
ENSG00000224500_RP11-328K22.1	0	0	0	0	0	0
ENSG00000224504_RP11-475D12.2	0	0	0	0	0	0
ENSG00000224505_AC002117.1	0	0	0	0	0	0
ENSG00000224506_RP1-293L8.2	0	0	0	0	1.1	0
ENSG00000224509_AC010884.1	0	0	0	0	0	0
ENSG00000224510_POLR2KP2	0	0	0	0	0	0
ENSG00000224511_LINC00365	0	0	0	0	0	1
ENSG00000224513_AC109309.4	0	0	0	0	0	0
ENSG00000224514_LINC00620	0	0	0	0	0	0
ENSG00000224515_RP11-5K23.5	0	0	0	0	0	0
ENSG00000224516_AC068134.8	0	0	0	0	0	0
ENSG00000224517_HTR2A-AS1	0	0	0	0	0	0
ENSG00000224518_AC006989.2	0	0	0	0	0	0
ENSG00000224519_HMGN1P19	0	0	0	0	0	0
ENSG00000224520_KRT8P45	0	0	0	1	0	1
ENSG00000224521_RP11-438F14.3	0	0	0	0	0	0
ENSG00000224523_RP13-52K8.1	0	0	0	0	0	0
ENSG00000224524_CYCSP42	0	0	0	0	0	0
ENSG00000224525_RP11-561I11.3	1	0	3	0	2	1
ENSG00000224529_AC093698.4	0	0	0	0	0	0
ENSG00000224530_PPIAP10	0	0	0	0	0	0
ENSG00000224531_SMIM13	591	593	495	590	613	800
ENSG00000224532_RP3-470L22.1	0	0	0	0	0	0
ENSG00000224533_TMLHE-AS1	3	0	0	0	3.32	3.66
ENSG00000224535_RP11-61J19.2	0	0	0	0	0	0
ENSG00000224536_RP11-134G8.7	26	28	22	25	16	28
ENSG00000224537_MEP1AP4	0	0	0	0	0	0
ENSG00000224539_SAGE4P	0	0	0	0	0	0
ENSG00000224540_RP11-385M4.3	0	0	0	0	0	0
ENSG00000224541_AP001439.2	0	0	0	0	0	0
ENSG00000224543_SNRPGP15	0	1	0	2	1	0
ENSG00000224545_AC008264.4	0	0	0	0	0	0
ENSG00000224546_EIF4BP3	0	2.01	0	0	0	0
ENSG00000224547_ZNF619P1	0	0	0	0	0	0
ENSG00000224548_RP1-107N3.2	0	0	0	0	0	0
ENSG00000224549_RP11-370B11.3	0	0	0	0	0	0
ENSG00000224550_RP11-270C12.3	0	0	0	0	0	0
ENSG00000224551_HMGB3P21	0	0	0	0	0	0
ENSG00000224553_AC008065.1	0	0	0	0	0	0
ENSG00000224555_RP11-438N5.2	0	0	0	0	0	0
ENSG00000224556_RP11-485B17.3	0	0	0	0	0	0
ENSG00000224557_HLA-DPB2	0	0	0	0	0	0
ENSG00000224559_LINC01087	2	0	2	0	1.9	1
ENSG00000224560_RP11-270L13.1	0	0	0	0	0	0
ENSG00000224563_LPP-AS1	0	0	0	0	0	0
ENSG00000224565_RP1-148H17.1	0	0	0	0	0	0
ENSG00000224566_FAM96AP2	2	4	1	4	0	3
ENSG00000224567_RP11-295P22.4	0	0	0	0	0	0
ENSG00000224568_AC096669.3	0	0	0	0	0	0
ENSG00000224569_RP11-341G5.2	0	0	0	0	0	0
ENSG00000224570_RP11-430H12.2	0	0	0	0	0	0
ENSG00000224571_USP9YP13	0	0	0	0	0	0
ENSG00000224573_AC083863.5	0	0	0	0	0	0
ENSG00000224574_COL18A1-AS2	0	0	0	0	0	0
ENSG00000224577_LINC01117	0	0	2	1	1	0
ENSG00000224578_HNRNPA1P48	172.45	147.95	153.18	126.64	152.38	211.77
ENSG00000224579_AC012314.19	0	0	0	0	0	0
